provinsi,laki_laki,perempuan,total_keseluruhan
dki_jakarta,5360827,5317148,10677975
jawa_barat,25682100,25076900,50759000
jawa_tengah,19203434,19030499,38233933
di_yogyakarta,1870100,1911400,3781500
jawa_timur,20978500,21110800,42089300
banten,6369700,6167700,12537400
total_pulau_jawa,79464661,78614447,158079108
