provinsi,laki_laki,perempuan,total_keseluruhan
jumlah_penduduk_aceh,2825512,2800448,5625960
jumlah_penduduk_sumatera_utara,7862993,7922846,15785839
jumlah_penduduk_sumatera_barat,2979,2934,5913
jumlah_penduduk_riau,3476706,3334452,6811158
jumlah_penduduk_jambi,1914250,1854230,3768480
jumlah_penduduk_sumatera_selatan,4542623,4385892,8928515
jumlah_penduduk_bengkulu,1091256,1046788,2138044
jumlah_penduduk_lampung,4857470,4665440,9522910
total_pulau_sumatera,26573789,26013030,52586819
