Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,74.6,72.9,147.5
5/9/01,69.7,67.9,137.6
10/14/01,67.6,65.9,133.6
15-19,70.7,66.2,136.9
20-24,68.9,64.6,133.5
25-29,67.1,63.9,131
30-34,63.1,60.3,123.4
35-39,56.8,54.9,111.7
40-44,51.2,50,101.2
45-49,46.4,45.5,91.9
50-54,39.7,39.2,78.9
55-59,32.1,32.1,64.2
60-64,24.9,25.4,50.3
65-69,17.3,18.2,35.5
70-74,11.4,12.5,23.9
75+,11,13.3,24.3
Jumlah/Total,772.7,752.7,1525.3
