provinsi,laki_laki,perempuan,total_keseluruhan
papua,560900,512700,1073600
papua_barat,308424,279221,587645
papua_barat_daya,331210,305230,636440
papua_pegunungan,791080,693780,1484860
papua_selatan,285030,264610,549640
papua_tengah,793490,698850,1492340
total_pulau_papua,3070134,2754391,5824525
