provinsi,laki_laki,perempuan,total_keseluruhan
kalimantan_barat,2957074,2808956,5766030
kalimantan_tengah,1450000,1370000,2820000
kalimantan_selatan,2185000,2138330,4323330
kalimantan_timur,1998730,1880778,3879508
kalimantan_utara,389219,356237,745456
total_pulau_kalimantan,8980023,8554301,17534324
total_pulau_kalimantan,8980023,8554301,17534324
total_pulau_kalimantan,8980023,8554301,17534324
