Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,98.8,94.8,193.6
5/9/01,96.8,91.9,188.6
10/14/01,96.2,91.3,187.4
15-19,88.5,83.6,172.1
20-24,89.5,86.2,175.7
25-29,91.4,90.8,182.2
30-34,89.8,89.9,179.7
35-39,91.1,91.9,183
40-44,86.2,86.4,172.6
45-49,81.3,79.7,161
50-54,69.7,67.1,136.8
55-59,53.4,49.3,102.6
60-64,39.2,36.1,75.3
65-69,24.7,23,47.6
70-74,14.8,14.2,28.9
75+,12.6,13.6,26.2
"Kepulauan Riau
",1123.8,1089.7,2213.5
