Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,63.5,60.9,124.4
5/9/01,60.4,60,120.4
10/14/01,57.2,60.2,117.3
15-19,60.3,62,122.3
20-24,59.6,58.1,117.7
25-29,56.8,50.4,107.2
30-34,59.1,51,110.1
35-39,60,55.5,115.5
40-44,53.2,48.5,101.7
45-49,47.3,41.2,88.5
50-54,38.4,34.8,73.3
55-59,29.4,28.6,58
60-64,22.7,22.8,45.5
65-69,16.4,16.2,32.6
70-74,11.2,10.8,22
75+,8.4,8.9,17.3
Jumlah/Total,704,669.8,1373.8
