Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,103,98.8,201.7
5/9/01,101,96.7,197.8
10/14/01,105.1,100.5,205.6
15-19,105,97.7,202.7
20-24,105.8,98.3,204.2
25-29,109.2,101.7,210.8
30-34,107,100.1,207.1
35-39,102.4,95.6,198
40-44,99,92.6,191.6
45-49,96.7,91.3,188
50-54,88.9,84.8,173.6
55-59,79.8,77.4,157.2
60-64,66,65.7,131.7
65-69,50.2,51.8,102.1
70-74,34.2,36.9,71.1
75+,35,43.3,78.3
Jumlah/Total,1388.2,1333.2,2721.4
