Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,51.4,49.4,100.7
5/9/01,66.8,64.3,131.1
10/14/01,58.1,56.5,114.7
15-19,43.7,39.7,83.5
20-24,35.6,31.6,67.1
25-29,44.9,41.2,86.1
30-34,46.5,40.5,87.1
35-39,48.7,41.7,90.4
40-44,41.5,35.1,76.6
45-49,32.1,28.5,60.6
50-54,27.9,24.5,52.3
55-59,19.4,18.7,38.1
60-64,18.3,16,34.2
65-69,10.6,10.9,21.5
70-74,8.4,7.4,15.8
75+,7.1,6.8,13.8
Jumlah/Total,560.9,512.7,1073.6
