Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,55.6,53.8,109.4
5/9/01,48.8,46.9,95.8
10/14/01,47.3,45.7,93
15-19,53.7,51.4,105.1
20-24,54.2,52,106.2
25-29,54,51.9,105.9
30-34,51.5,49.6,99.9
35-39,47.5,46,93.5
40-44,44.1,42.9,87
45-49,41.1,40.4,81.6
50-54,36.2,36.1,72.2
55-59,30.6,31.1,61.7
60-64,24.1,25.1,49.2
65-69,16.8,18.2,35.1
70-74,10.8,12.3,23.1
75+,9.8,12.7,22.5
Jumlah/Total,626.1,616.2,1242.2
