Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,67.3,64.5,131.8
5/9/01,61.3,58.3,119.5
10/14/01,60.1,57.2,117.3
15-19,64.7,60.9,125.6
20-24,65,61.4,126.5
25-29,64.3,61.5,125.7
30-34,63.7,60.6,124.3
35-39,64.3,60.3,124.6
40-44,60.9,56.7,117.6
45-49,56.7,52.1,108.8
50-54,49.2,45.2,94.4
55-59,39.3,36.7,76
60-64,30.7,29.3,60
65-69,22.2,22,44.3
70-74,14.5,15,29.5
75+,11.2,13.8,24.9
Jumlah/Total,795.2,755.6,1550.8
