provinsi,laki_laki,perempuan,total_keseluruhan
gorontalo,626100,616200,1242300
sulawesi_barat,772700,752700,1525400
sulawesi_selatan,4702000,4811300,9513300
sulawesi_tengah,1617200,1538900,3156100
sulawesi_tenggara,1436300,1400500,2836800
sulawesi_utara,1388200,1333200,2721400
total_pulau_sulawesi,10542500,10452800,20995300
